0,F#2,?,0.0
0.25,C#4 F#3,?,0.0
0.5,F#4 A3,?,0.0
0.75,A4 C#4,?,0.0
1,F#4 A3,?,0.0
1.25,C#4 F#3,?,0.0
1.5,D4 B2 F#3,?,0.0
1.75,F#4 B3,?,0.0
2,B4 D4,?,0.0
2.25,F#4 B4 D5,"[2, 5, 9]_9",0.809804369871221
3,E2,[7]_7,0.809804369871221
3.25,B3 E3,"[2, 7]_7",0.809804369871221
3.5,E4 G#3,"[7, 11]_11",0.809804369871221
3.75,D4 G#4 B3,"[11, 2, 5]_2",0.809804369871221
4,E4 G#3,"[7, 11]_11",0.809804369871221
4.25,B3 E3,"[2, 7]_7",0.809804369871221
4.5,C#4 A2 E3,"[0, 4, 7]_0",0.809804369871221
4.75,E4 A3,"[7, 0]_0",0.809804369871221
5,A4 C#4,"[0, 4]_4",0.809804369871221
5.25,E4 A4 C#5,"[0, 4, 7]_7",0.809804369871221
6,D2,[5]_5,0.809804369871221
6.25,A3 D3,"[0, 5]_5",0.809804369871221
6.5,D4 F#3,"[5, 9]_9",0.809804369871221
6.75,F#4 A3,"[9, 0]_0",0.809804369871221
7,D4 F#3,"[5, 9]_9",0.809804369871221
7.25,A3 D3,"[0, 5]_5",0.809804369871221
7.5,B3 B2,[2]_2,0.809804369871221
7.75,D4 F#3,"[5, 9]_9",0.809804369871221
8,F#4 B3,"[9, 2]_2",0.809804369871221
8.25,D4 F#4 B4,"[2, 5, 9]_5",0.809804369871221
9,B2,[2]_2,0.809804369871221
9.25,D4 F#3,"[5, 9]_9",0.809804369871221
9.5,F#4 B3,"[9, 2]_2",0.809804369871221
9.75,D4 F#4 G#4,"[5, 9, 11]_5",0.809804369871221
10.5,C#2,[4]_4,0.809804369871221
10.75,B3 C#3,"[2, 4]_4",0.809804369871221
11,C#4 G#3,"[11, 4]_11",0.809804369871221
11.25,B3 C#4 F4,"[5, 7, 11]_5",0.7999989759059306
12,A4 F#2,"[0, 3]_0",0.7999989759059306
12.25,C#4 A4 F#3,"[0, 3, 7]_0",0.7999989759059306
12.5,F#4 A4 A3,"[0, 3]_3",0.7999989759059306
12.75,A4 C#4,"[3, 7]_7",0.7999989759059306
13,B4 F#4 A3,"[0, 3, 5]_3",0.7999989759059306
13.25,C#5 C#4 F#3,?,0.0
13.5,D5 B2,?,0.0
