Title,Composer,CatNo,Date,Range,Inst1,Inst2,Inst3,Genre,Subgenre,Species ,Species2,Nationality,Key,Modulation
Sonata Guitar Duet 1 Moderato,Abel,K174,,1740-1770,Guitar,,,ChamberSonata,Duet,,,Germany,A major,
Sonata Guitar Duet 2 Cantabile,Abel,K174,,1740-1770,Guitar,,,ChamberSonata,Duet,,,Germany,D major,
Sonata Guitar Duet 3 Vivace,Abel,K174,,1740-1770,Guitar,,,ChamberSonata,Duet,,,Germany,A major,
Symphony in Eb,Abel,Op7No6,,1740-1770,Orchestra,,,Symphony,,,,Germany,Eb major,
Violin Concerto in A-,Accolay,No1,1868,,Violin,Piano,,Concerto,,,,,A minor,A major
Le Brasseur de Preston Ouverture,Adam,,1838,,Piano,,,Overture,,,,France,Eb major,
"Le Postillon de Lonjumeau I Mes amis, ecoutez l'histoire",Adam,,1836,,Piano,,,OtherSolo,,,,France,G major,
"Noel, for voice, harp, and strings",Adam,,,1840-1860,Voice,Harp,Orchestra,OtherTextedSacred,,,,France,Bb major,
O Holy Night!,Adam,,1847,,Orchestra,,,Prelude,,,,France,C major,
Sonata per il Clavicembalo,Agnesi,,1745,,Piano,,,SoloSonata,,,,Italy,F major,Eb major
Adagio and Andante in G,Aguado,,1825,,Guitar,,,OtherSolo,,,,,G major,
Allegro,Aguado,,1825,,Guitar,,,OtherSolo,,,,,A major,
Brillante,Aguado,,1825,,Guitar,,,OtherSolo,,,,,E major,
Cantabile,Aguado,,1825,,Guitar,,,OtherSolo,,,,,A major,
Minuet,Aguado,,1825,,Guitar,,,OtherSolo,,,,,C major,
Rondo in A-,Aguado,,1825,,Guitar,,,OtherSolo,,,,,A minor,
Rondo in A-,Aguado,,1825,,Guitar,,,OtherSolo,,,,,A minor,
Study in A-,Aguado,,1825,,Piano,,,Etude,,,,,A minor,
Study in C,Aguado,,1825,,Guitar,,,Etude,,,,,C major,
Study in E-,Aguado,,1825,,Guitar,,,Etude,,,,,E minor,G major
Study in G,Aguado,,1825,,Guitar,,,Etude,,,,,G major,
Study,Aguado,,1825,,Guitar,,,Etude,,,,,A minor,
Study,Aguado,,1825,,Guitar,,,Etude,,,,,E minor,
Kanarien Trio,Ahlefeldt,,,1800-1820,Violin,Piano,,Duet,,,,,F major,
Bajo La Palmera,Albeniz,Op232No3,1892,,Guitar,Piano,,Duet,,,,Spain,D major,
Berceuse,Albeniz,,,1880-1899,Piano,Guitar,,Duet,,,,Spain,G major,
Cantos de Espana 4 Cordoba,Albeniz,Op232,1892,,Guitar,,,OtherSolo,,,,Spain,F major,D minor
Concierto Fantastico 1 Allegro ma non troppo,Albeniz,Op78,,1880-1910,Piano,Orchestra,,Concerto,,,,Spain,A minor,
Concierto Fantastico 2 Andante-Presto,Albeniz,Op78,,1880-1910,Piano,Orchestra,,Concerto,,,,Spain,B minor,
Concierto Fantastico 3 Allegro,Albeniz,Op78,,1880-1910,Piano,Orchestra,,Concerto,,,,Spain,B minor,A major
Cotillon Valse,Albeniz,,1896,,Piano,,,OtherSolo,,,,Spain,Eb major,
Iberia Suite Book I 1 Evocacion,Albeniz,,1906,,Piano,,,OtherSolo,,,,Spain,Ab minor,
Iberia Suite Book I 2 El Puerto,Albeniz,,1906,,Piano,,,OtherSolo,,,,Spain,Db major,
Iberia Suite Book I 3 Fete Dieu a Seville,Albeniz,,1906,,Piano,,,OtherSolo,,,,Spain,F# minor,
Iberia Suite Book II 1 Rondena,Albeniz,,1906,,Piano,,,OtherSolo,,,,Spain,D major,
Iberia Suite Book II 2 Almeria,Albeniz,,1906,,Piano,,,OtherSolo,,,,Spain,G major,
Iberia Suite Book II 3 Triana,Albeniz,,1906,,Piano,,,OtherSolo,,,,Spain,F# minor,
Iberia Suite Book III 1 El Albaicin,Albeniz,,1907,,Piano,,,OtherSolo,,,,Spain,Bb minor,
Iberia Suite Book III 2 El Polo,Albeniz,,1907,,Piano,,,OtherSolo,,,,Spain,F minor,
Iberia Suite Book III 3 Lavapies,Albeniz,,1907,,Piano,,,OtherSolo,,,,Spain,Db major,
Iberia Suite Book IV 1 Malaga,Albeniz,,1908,,Piano,,,OtherSolo,,,,Spain,Bb minor,Bb major
Iberia Suite Book IV 2 Jerez,Albeniz,,1908,,Piano,,,OtherSolo,,,,Spain,E minor,E major
Iberia Suite Book IV 3 Eritana,Albeniz,,1908,,Piano,,,OtherSolo,,,,Spain,Eb major,
L'Automne Valse 1 Intro,Albeniz,Op170,,1890-1899,Piano,,,OtherSolo,,Waltz,,Spain,Bb major,
L'Automne Valse 2,Albeniz,Op170,,1890-1899,Piano,,,OtherSolo,,Waltz,,Spain,G major,
L'Automne Valse 3,Albeniz,Op170,,1890-1899,Piano,,,OtherSolo,,Waltz,,Spain,Ab major,
L'Automne Valse 4 Coda,Albeniz,Op170,,1890-1899,Piano,,,OtherSolo,,Waltz,,Spain,G minor,
Mallorca,Albeniz,Op202,,1890-1899,Guitar,,,OtherSolo,,,,Spain,D minor,
Oriental,Albeniz,Op232No2,1892,,Guitar,,,OtherSolo,,,,Spain,D minor,
Pavane-Capricho,Albeniz,Op12,1884,,Guitar,,,OtherSolo,,,,Spain,D minor,
Piezas caracteristicas Gavotte -Allegro,Albeniz,Op92,1888,,Guitar,,,CharacterPiece,,Gavotte,,Spain,D major,
Piezas caracteristicas Minuetto a Sylvia Allegretto,Albeniz,Op92,1888,,Guitar,,,CharacterPiece,,Minuet,,Spain,D major,
Piezas caracteristicas Plegaria-Andante,Albeniz,Op92,1888,,Guitar,,,CharacterPiece,,,,Spain,D major,
Piezas caracteristicas Torre Bermeja-Allegro Molto,Albeniz,Op92,1888,,Guitar,,,CharacterPiece,,,,Spain,D major,
Piezas caracteristicas Zambra-Allegro Molto,Albeniz,Op92,1888,,Guitar,,,CharacterPiece,,,,Spain,G minor,
Recuerdos de Viaje Travel Impressions 1 En el Mar On the Sea,Albeniz,Op71,1886,,Piano,,,OthersSolo,,,,Spain,Ab major,
Recuerdos de Viaje Travel Impressions 2 Leyenda-Barcarole Legend,Albeniz,Op71,1886,,Piano,,,OthersSolo,,Barcarole,,Spain,Eb major,
Recuerdos de Viaje Travel Impressions 3 Alborada Dawn,Albeniz,Op71,1886,,Piano,,,OthersSolo,,,,Spain,A major,
Recuerdos de Viaje Travel Impressions 4 En la Alhambra In the Alhambra,Albeniz,Op71,1886,,Piano,,,OthersSolo,,,,Spain,A minor,
Recuerdos de Viaje Travel Impressions 5 Puerta de Tierra Bolero,Albeniz,Op71,1886,,Piano,,,OthersSolo,,,,Spain,D major,
Recuerdos de Viaje Travel Impressions 6 Rumores de la Caleta Malaguena,Albeniz,Op71,1886,,Piano,,,OthersSolo,,,,Spain,A major,
Recuerdos de Viaje Travel Impressions 7 En la Playa On the Beach,Albeniz,Op71,1886,,Piano,,,OthersSolo,,,,Spain,Ab major,
Rumores de Caleta Malaguena,Albeniz,,,1890-1899,Guitar,,,OtherSolo,,,,Spain,E major,
Six Little Waltzes,Albeniz,Op25No1,1884,,Piano,,,OtherSolo,,Waltz,,Spain,Ab major,
Six Little Waltzes,Albeniz,Op25No2,1884,,Piano,,,OtherSolo,,Waltz,,Spain,Eb major,
Six Little Waltzes,Albeniz,Op25No3,1884,,Piano,,,OtherSolo,,Waltz,,Spain,A major,
Six Little Waltzes,Albeniz,Op25No4,1884,,Piano,,,OtherSolo,,Waltz,,Spain,Eb major,
Six Little Waltzes,Albeniz,Op25No5,1884,,Piano,,,OtherSolo,,Waltz,,Spain,F major,
Six Little Waltzes,Albeniz,Op25No6,1884,,Piano,,,OtherSolo,,Waltz,,Spain,Ab major,
Sonata in D Zapateado,Albeniz,,,1770-1800,,,,,,,,,,
Spanish Tango,Albeniz,Op164No2,1889,,Guitar,,,OtherSolo,,,,Spain,A minor,
Suite Espana 1 Preludio,Albeniz,Op165,1890,,Piano,,,OtherSolo,,,,Spain,A minor,
Suite Espana 2 Tango,Albeniz,Op165,1890,,Piano,,,OtherSolo,,,,Spain,D major,
Suite Espana 3 Malaguena,Albeniz,Op165,1890,,Piano,,,OtherSolo,,,,Spain,B major,
Suite Espana 4 Serenata,Albeniz,Op165,1890,,Piano,,,OtherSolo,,,,Spain,G minor,
Suite Espana 5 Capricho Catalan,Albeniz,Op165,1890,,Piano,,,OtherSolo,,,,Spain,Eb major,
Suite Espana 6 Zortzico,Albeniz,Op165,1890,,Piano,,,OtherSolo,,,,Spain,E major,
Suite Espanola 1 Granada,Albeniz,Op47,1918,,Piano,,,OthersSolo,,,,Spain,E major,
Suite Espanola 2 Cataluna,Albeniz,Op47,1918,,Piano,,,OthersSolo,,,,Spain,G minor,
Suite Espanola 3 Sevilla,Albeniz,Op47,1918,,Piano,,,OthersSolo,,,,Spain,G major,
Suite Espanola 4 Cadiz,Albeniz,Op47,1918,,Piano,,,OthersSolo,,,,Spain,C# major,
Suite Espanola 5 Asturias,Albeniz,Op47,1918,,Guitar,,,OthersSolo,,,,Spain,E minor,
Suite Espanola 6 Aragon,Albeniz,Op47,1918,,Piano,,,OthersSolo,Fantasy,,,Spain,F major,
Suite Espanola 7 Castilla,Albeniz,Op47,1918,,Guitar,,,OthersSolo,Duet,,,Spain,D major,
Suite Espanola 8 Cuba,Albeniz,Op47,1918,,Piano,,,OthersSolo,Nocturne,,,Spain,Eb major,
